year,company,tagline,photo_path
2008,Mega Fresh,When vegetable production was still catching up,
2008,Tajfun,When packaged salads first arrived from Italy,
2008,Miorto,The beginning of the pre-packed salad era in Poland,
2009,Cymes,Early days of modern fresh logistics,
2010,Agro-Paprix,Building the first cross-border flower logistics,
2011,Greenyard,Scaling European produce distribution,
2012,Chiquita,Premium bananas reach every supermarket shelf,
2013,Citronex,Citrus imports reshape the Polish fruit market,
2014,Bakker,Dutch flower power meets Polish retail,
2015,Fruiting,Apples from Grojec conquer European chains,
