ID Livespace;Nazwa firmy;Tag
3044;Tr.e di Sp. z o.o. by Nava srl;stoisko FM26 od Claude
2765;Fresh Future Sp. z o.o.;stoisko FM26 od Claude
2757;Firma Handlowa `BUGAJ` Łukasz Ostrowicz;stoisko FM26 od Claude
3048;Tropicana Sp. z o.o.;stoisko FM26 od Claude
34509;Marek Gawryszewski Eksport Własnych Płodów Rolnych;stoisko FM26 od Claude
2799;Gosp. Sad. Jarosław Trela;stoisko FM26 od Claude
2916;Mazovia Garden Sp. z o.o.;stoisko FM26 od Claude
2687;Appolonia Sp.zoo;stoisko FM26 od Claude
2648;Agro Queens Sp. z o o;stoisko FM26 od Claude
2868;Grupa Producentów Warzyw Szklarniowych VEGAPOL Sp. z o.o.;stoisko FM26 od Claude
2644;Agri Gem Sp. z o. o.;stoisko FM26 od Claude
2972;POLSKIE JAGODY sp. z o.o.Grupa Producentów Owoców;stoisko FM26 od Claude
2739;ELITA - Grupa Producentów Owoców Sp. z o.o.;stoisko FM26 od Claude
3019;Staay Warszawa;stoisko FM26 od Claude
2932;NET-PROFIT Warzywa & Owoce;stoisko FM26 od Claude
2982;Prima 2000 Group;stoisko FM26 od Claude
2904;LUVEGA sp. z o.o.;stoisko FM26 od Claude
3069;WILGA FRUIT SP. Z O.O.;stoisko FM26 od Claude
2928;Nature`s Produce Sp. z o.o.;stoisko FM26 od Claude
2854;Grupa Gaik Sp. z o.o.;stoisko FM26 od Claude
3012;Spółdzielcza Grupa Producentów Owoców `Nasz Sad`;stoisko FM26 od Claude
2656;Agro-Max Sp. J.;stoisko FM26 od Claude
2672;AK Mierzwa Sp.zoo;stoisko FM26 od Claude
2727;DAPS Sp. z o.o.;stoisko FM26 od Claude
2748;F.H.U. Rozwój;stoisko FM26 od Claude
2774;Fruit Garden;stoisko FM26 od Claude
3073;World Trade Tomasz Biernacki;stoisko FM26 od Claude
3057;VegaRol;stoisko FM26 od Claude
3059;VegFruit;stoisko FM26 od Claude
