Nazwa;Email;Telefon;WWW;NIP;Kraj;Miasto;Tag
Tr.e di Sp. z o.o. by Nava srl;urszula.demska@navasrl.com;390804770444;;;Polska;;stoisko FM26 od Claude
Fresh Future Sp. z o.o.;magda@freshfuture.pl;601713715;www.freshfuture.pl;;Polska;Poznań;stoisko FM26 od Claude
Firma Handlowa `BUGAJ` Łukasz Ostrowicz;lukasz.ostrowicz@fhbugaj.pl, andrzej.bugaj@op.pl;510 235 742;www.fhbugaj.pl;;Polska;Kodrąb;stoisko FM26 od Claude
Tropicana Sp. z o.o.;w.guzik@tropicana.pl;+48 13 43 68408;www.tropicana.pl;;Polska;Krosno;stoisko FM26 od Claude
Marek Gawryszewski Eksport Własnych Płodów Rolnych;office@mgawryszewski.pl;600 294 719;magaw-gawryszewski.pl;;Polska;;stoisko FM26 od Claude
Gosp. Sad. Jarosław Trela;jarektrela@gmail.com;;;;Polska;Kraków;stoisko FM26 od Claude
Mazovia Garden Sp. z o.o.;poczta@mazovia-garden.pl;468574401;;;Polska;Warszawa;stoisko FM26 od Claude
Appolonia Sp.zoo;przemyslaw.bladek@appolonia.pl;48 332-95-69;;;Polska;Warszawa;stoisko FM26 od Claude
Agro Queens Sp. z o o;accounting@agroqueens.com;502842132;http://www.agroqueens.com;;Polska;Grójec;stoisko FM26 od Claude
Grupa Producentów Warzyw Szklarniowych VEGAPOL Sp. z o.o.;info@vegapol.com.pl;608208201;;;Polska;Karczew;stoisko FM26 od Claude
Agri Gem Sp. z o. o.;info@agrigem.pl;+48 61 415 16 87;;;Polska;Tarnowo Podgórne;stoisko FM26 od Claude
POLSKIE JAGODY sp. z o.o.Grupa Producentów Owoców;info@polskiejagody.pl;846273228;http://www.polskiejagody.pl/;;Polska;Obsza;stoisko FM26 od Claude
ELITA - Grupa Producentów Owoców Sp. z o.o.;biuro@elitaowoce.pl;;www.elitaowoce.pl;;Polska;Głowno;stoisko FM26 od Claude
Staay Warszawa;jakub.maciolek@staay-warszawa.pl;607 319 772;www.staay-warszawa.pl;;Polska;Warszawa;stoisko FM26 od Claude
NET-PROFIT Warzywa & Owoce;biuro@netprofit.com.pl;123931393;www.netprofit.krakow.pl;;Polska;Wawrzeńczyce;stoisko FM26 od Claude
