Campaign,Ad group,Keyword,Match type,Status,Max CPC
Stands - Search EN,High Intent - EN,exhibit at fresh market 2026,Exact,Paused,1.50
Stands - Search EN,High Intent - EN,book a stand fresh market,Exact,Paused,1.50
Stands - Search EN,High Intent - EN,exhibition stand warsaw fresh produce,Exact,Paused,1.50
Stands - Search EN,High Intent - EN,exhibitor hub fresh market,Exact,Paused,1.50
Stands - Search EN,High Intent - EN,book a stand fresh market,Phrase,Paused,1.50
Stands - Search EN,High Intent - EN,exhibit fresh produce trade event,Phrase,Paused,1.50
Stands - Search EN,High Intent - EN,exhibition stand food fresh warsaw,Phrase,Paused,1.50
Stands - Search EN,High Intent - EN,fresh produce exhibitor event,Phrase,Paused,1.50
Stands - Search EN,High Intent - EN,trade show stand fresh fruit vegetables,Phrase,Paused,1.50
Stands - Search EN,Mid Intent - EN,fresh produce trade show poland 2026,Phrase,Paused,1.20
Stands - Search EN,Mid Intent - EN,exhibitor fresh produce europe,Phrase,Paused,1.20
Stands - Search EN,Mid Intent - EN,b2b expo fresh industry,Phrase,Paused,1.20
Stands - Search EN,Mid Intent - EN,promote brand fresh produce market,Phrase,Paused,1.20
Stands - Search EN,Mid Intent - EN,food industry exhibition warsaw,Phrase,Paused,1.20
Stands - Search PL,High Intent - PL,stoisko fresh market,Exact,Paused,1.50
Stands - Search PL,High Intent - PL,wystaw sie na fresh market,Exact,Paused,1.50
Stands - Search PL,High Intent - PL,stoisko fresh market 2026,Exact,Paused,1.50
Stands - Search PL,High Intent - PL,rezerwacja stoiska fresh market,Exact,Paused,1.50
Stands - Search PL,High Intent - PL,stoisko na targach owocow warzyw,Phrase,Paused,1.50
Stands - Search PL,High Intent - PL,wystaw sie fresh produce warszawa,Phrase,Paused,1.50
Stands - Search PL,High Intent - PL,targi branzowe stoisko owoce warzywa,Phrase,Paused,1.50
Stands - Search PL,Mid Intent - PL,promocja marki targi branzowe,Phrase,Paused,1.20
Stands - Search PL,Mid Intent - PL,ekspozycja produktow branza fresh,Phrase,Paused,1.20
Stands - Search PL,Mid Intent - PL,event wystawienniczy owoce warzywa,Phrase,Paused,1.20
Stands - Search PL,Mid Intent - PL,stoisko expo branza spozywcza,Phrase,Paused,1.20
Stands - Brand,Brand - PL/EN,fresh market stoisko,Exact,Paused,0.80
Stands - Brand,Brand - PL/EN,fresh market exhibition stand,Exact,Paused,0.80
Stands - Brand,Brand - PL/EN,fresh market 2026 stoisko,Phrase,Paused,0.80
Stands - Brand,Brand - PL/EN,fresh market 2026 exhibition stand,Phrase,Paused,0.80
