Campaign,Ad group,Keyword,Match type,Criterion Type
Stands - Search PL,,buyer meetings,Phrase,Negative keyword
Stands - Search PL,,business package,Phrase,Negative keyword
Stands - Search PL,,premium meetings,Phrase,Negative keyword
Stands - Search PL,,register for meetings,Phrase,Negative keyword
Stands - Search PL,,apply for buyer meetings,Phrase,Negative keyword
Stands - Search PL,,matchmaking,Phrase,Negative keyword
Stands - Search PL,,meet retail buyers,Phrase,Negative keyword
Stands - Search PL,,b2b meetings registration,Phrase,Negative keyword
Stands - Search PL,,pakiet business,Phrase,Negative keyword
Stands - Search PL,,rejestracja udzial,Phrase,Negative keyword
Stands - Search PL,,spotkania z buyerami,Phrase,Negative keyword
Stands - Search PL,,jobs,Phrase,Negative keyword
Stands - Search PL,,praca,Phrase,Negative keyword
Stands - Search PL,,employment,Phrase,Negative keyword
Stands - Search PL,,free,Phrase,Negative keyword
Stands - Search PL,,darmowy,Phrase,Negative keyword
Stands - Search PL,,volunteer,Phrase,Negative keyword
Stands - Search PL,,recipe,Phrase,Negative keyword
Stands - Search PL,,przepis,Phrase,Negative keyword
Stands - Search PL,,co to jest,Phrase,Negative keyword
Stands - Search PL,,what is,Phrase,Negative keyword
Stands - Search PL,,frozen,Phrase,Negative keyword
Stands - Search PL,,mrozone,Phrase,Negative keyword
Stands - Search PL,,canned,Phrase,Negative keyword
Stands - Search PL,,sponsor,Phrase,Negative keyword
Stands - Search PL,,sponsoring,Phrase,Negative keyword
Stands - Search EN,,buyer meetings,Phrase,Negative keyword
Stands - Search EN,,business package,Phrase,Negative keyword
Stands - Search EN,,premium meetings,Phrase,Negative keyword
Stands - Search EN,,register for meetings,Phrase,Negative keyword
Stands - Search EN,,apply for buyer meetings,Phrase,Negative keyword
Stands - Search EN,,matchmaking,Phrase,Negative keyword
Stands - Search EN,,meet retail buyers,Phrase,Negative keyword
Stands - Search EN,,b2b meetings registration,Phrase,Negative keyword
Stands - Search EN,,pakiet business,Phrase,Negative keyword
Stands - Search EN,,rejestracja udzial,Phrase,Negative keyword
Stands - Search EN,,spotkania z buyerami,Phrase,Negative keyword
Stands - Search EN,,jobs,Phrase,Negative keyword
Stands - Search EN,,praca,Phrase,Negative keyword
Stands - Search EN,,employment,Phrase,Negative keyword
Stands - Search EN,,free,Phrase,Negative keyword
Stands - Search EN,,darmowy,Phrase,Negative keyword
Stands - Search EN,,volunteer,Phrase,Negative keyword
Stands - Search EN,,recipe,Phrase,Negative keyword
Stands - Search EN,,przepis,Phrase,Negative keyword
Stands - Search EN,,co to jest,Phrase,Negative keyword
Stands - Search EN,,what is,Phrase,Negative keyword
Stands - Search EN,,frozen,Phrase,Negative keyword
Stands - Search EN,,mrozone,Phrase,Negative keyword
Stands - Search EN,,canned,Phrase,Negative keyword
Stands - Search EN,,sponsor,Phrase,Negative keyword
Stands - Search EN,,sponsoring,Phrase,Negative keyword
Stands - Brand,,buyer meetings,Phrase,Negative keyword
Stands - Brand,,business package,Phrase,Negative keyword
Stands - Brand,,premium meetings,Phrase,Negative keyword
Stands - Brand,,register for meetings,Phrase,Negative keyword
Stands - Brand,,apply for buyer meetings,Phrase,Negative keyword
Stands - Brand,,matchmaking,Phrase,Negative keyword
Stands - Brand,,meet retail buyers,Phrase,Negative keyword
Stands - Brand,,b2b meetings registration,Phrase,Negative keyword
Stands - Brand,,pakiet business,Phrase,Negative keyword
Stands - Brand,,rejestracja udzial,Phrase,Negative keyword
Stands - Brand,,spotkania z buyerami,Phrase,Negative keyword
Stands - Brand,,jobs,Phrase,Negative keyword
Stands - Brand,,praca,Phrase,Negative keyword
Stands - Brand,,employment,Phrase,Negative keyword
Stands - Brand,,free,Phrase,Negative keyword
Stands - Brand,,darmowy,Phrase,Negative keyword
Stands - Brand,,volunteer,Phrase,Negative keyword
Stands - Brand,,recipe,Phrase,Negative keyword
Stands - Brand,,przepis,Phrase,Negative keyword
Stands - Brand,,co to jest,Phrase,Negative keyword
Stands - Brand,,what is,Phrase,Negative keyword
Stands - Brand,,frozen,Phrase,Negative keyword
Stands - Brand,,mrozone,Phrase,Negative keyword
Stands - Brand,,canned,Phrase,Negative keyword
Stands - Brand,,sponsor,Phrase,Negative keyword
Stands - Brand,,sponsoring,Phrase,Negative keyword
