Campaign,Sitelink text,Description line 1,Description line 2,Final URL,Status
Stands - Search EN,Reserve a Booth,See live floor plan,Pick your spot at Fresh Market,https://freshmarket.eu/venue,Paused
Stands - Brand,Reserve a Booth,See live floor plan,Pick your spot at Fresh Market,https://freshmarket.eu/venue,Paused
Stands - Search EN,Booth Options & Pricing,Built-in and light 6 m2,From 6 to 18 m2 available,https://freshmarket.eu/exhibitors,Paused
Stands - Brand,Booth Options & Pricing,Built-in and light 6 m2,From 6 to 18 m2 available,https://freshmarket.eu/exhibitors,Paused
Stands - Search EN,Why Exhibit,Networking + visibility,Reach 350+ industry pros,https://freshmarket.eu/exhibitors,Paused
Stands - Brand,Why Exhibit,Networking + visibility,Reach 350+ industry pros,https://freshmarket.eu/exhibitors,Paused
Stands - Search EN,Exhibitors Hub,One of 3 main zones,Active all day 24 Sep 2026,https://freshmarket.eu/exhibitors-hub,Paused
Stands - Brand,Exhibitors Hub,One of 3 main zones,Active all day 24 Sep 2026,https://freshmarket.eu/exhibitors-hub,Paused
Stands - Search EN,Contact & Enquiry,Ask about booth options,Get help with registration,https://freshmarket.eu/contact,Paused
Stands - Brand,Contact & Enquiry,Ask about booth options,Get help with registration,https://freshmarket.eu/contact,Paused
Stands - Search PL,Zarezerwuj stoisko,Plan hali na zywo,Wybierz miejsce na FM2026,https://freshmarket.eu/pl/venue,Paused
Stands - Search PL,Opcje stoiska + ceny,Zabudowane i lekkie 6 m2,Od 6 do 18 m2 dostepne,https://freshmarket.eu/pl/exhibitors,Paused
Stands - Search PL,Dlaczego sie wystawic,Networking + widocznosc,Dotrzyj do 350+ profesjonalistow,https://freshmarket.eu/pl/exhibitors,Paused
Stands - Search PL,Exhibitors Hub,Jedna z 3 stref glownych,Aktywna caly dzien 24.09.2026,https://freshmarket.eu/pl/exhibitors-hub,Paused
Stands - Search PL,Kontakt i zapytania,Zapytaj o opcje stoiska,Pomoc przy rejestracji,https://freshmarket.eu/pl/contact,Paused
