Campaign,Callout text,Status
Stands - Search EN,Built & Light Stand Options,Paused
Stands - Brand,Built & Light Stand Options,Paused
Stands - Search EN,First Booked = Better Location,Paused
Stands - Brand,First Booked = Better Location,Paused
Stands - Search EN,Exhibitors Hub Active All Day,Paused
Stands - Brand,Exhibitors Hub Active All Day,Paused
Stands - Search EN,24 September 2026 - Warsaw,Paused
Stands - Brand,24 September 2026 - Warsaw,Paused
Stands - Search EN,200-220 Companies at the Event,Paused
Stands - Brand,200-220 Companies at the Event,Paused
Stands - Search EN,Logo on Website + Catalog Entry,Paused
Stands - Brand,Logo on Website + Catalog Entry,Paused
Stands - Search PL,Stoiska zabudowane i lekkie,Paused
Stands - Search PL,"Kto pierwszy, lepsza lokalizacja",Paused
Stands - Search PL,Exhibitors Hub caly dzien,Paused
Stands - Search PL,24 wrzesnia 2026 - Warszawa,Paused
Stands - Search PL,200-220 firm na evencie,Paused
Stands - Search PL,Logo na stronie + wpis w katalogu,Paused
