Row Type,Action,Keyword status,Keyword ID,Keyword,Campaign,Ad group,Match type,Max CPC,Final URL,Final mobile URL,Tracking template,Final URL suffix,Custom parameter,Label
Keyword,Add,Paused,,exhibit at fresh market 2026,Stands - Search EN,High Intent - EN,Exact,1.50,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,book a stand fresh market,Stands - Search EN,High Intent - EN,Exact,1.50,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,exhibition stand warsaw fresh produce,Stands - Search EN,High Intent - EN,Exact,1.50,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,exhibitor hub fresh market,Stands - Search EN,High Intent - EN,Exact,1.50,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,book a stand fresh market,Stands - Search EN,High Intent - EN,Phrase,1.50,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,exhibit fresh produce trade event,Stands - Search EN,High Intent - EN,Phrase,1.50,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,exhibition stand food fresh warsaw,Stands - Search EN,High Intent - EN,Phrase,1.50,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,fresh produce exhibitor event,Stands - Search EN,High Intent - EN,Phrase,1.50,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,trade show stand fresh fruit vegetables,Stands - Search EN,High Intent - EN,Phrase,1.50,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,fresh produce trade show poland 2026,Stands - Search EN,Mid Intent - EN,Phrase,1.20,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,exhibitor fresh produce europe,Stands - Search EN,Mid Intent - EN,Phrase,1.20,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,b2b expo fresh industry,Stands - Search EN,Mid Intent - EN,Phrase,1.20,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,promote brand fresh produce market,Stands - Search EN,Mid Intent - EN,Phrase,1.20,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,food industry exhibition warsaw,Stands - Search EN,Mid Intent - EN,Phrase,1.20,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,stoisko fresh market,Stands - Search PL,High Intent - PL,Exact,1.50,https://freshmarket.eu/pl/exhibitors,,,,,
Keyword,Add,Paused,,wystaw sie na fresh market,Stands - Search PL,High Intent - PL,Exact,1.50,https://freshmarket.eu/pl/exhibitors,,,,,
Keyword,Add,Paused,,stoisko fresh market 2026,Stands - Search PL,High Intent - PL,Exact,1.50,https://freshmarket.eu/pl/exhibitors,,,,,
Keyword,Add,Paused,,rezerwacja stoiska fresh market,Stands - Search PL,High Intent - PL,Exact,1.50,https://freshmarket.eu/pl/exhibitors,,,,,
Keyword,Add,Paused,,stoisko na targach owocow warzyw,Stands - Search PL,High Intent - PL,Phrase,1.50,https://freshmarket.eu/pl/exhibitors,,,,,
Keyword,Add,Paused,,wystaw sie fresh produce warszawa,Stands - Search PL,High Intent - PL,Phrase,1.50,https://freshmarket.eu/pl/exhibitors,,,,,
Keyword,Add,Paused,,targi branzowe stoisko owoce warzywa,Stands - Search PL,High Intent - PL,Phrase,1.50,https://freshmarket.eu/pl/exhibitors,,,,,
Keyword,Add,Paused,,promocja marki targi branzowe,Stands - Search PL,Mid Intent - PL,Phrase,1.20,https://freshmarket.eu/pl/exhibitors,,,,,
Keyword,Add,Paused,,ekspozycja produktow branza fresh,Stands - Search PL,Mid Intent - PL,Phrase,1.20,https://freshmarket.eu/pl/exhibitors,,,,,
Keyword,Add,Paused,,event wystawienniczy owoce warzywa,Stands - Search PL,Mid Intent - PL,Phrase,1.20,https://freshmarket.eu/pl/exhibitors,,,,,
Keyword,Add,Paused,,stoisko expo branza spozywcza,Stands - Search PL,Mid Intent - PL,Phrase,1.20,https://freshmarket.eu/pl/exhibitors,,,,,
Keyword,Add,Paused,,fresh market stoisko,Stands - Brand,Brand - PL_EN,Exact,0.80,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,fresh market exhibition stand,Stands - Brand,Brand - PL_EN,Exact,0.80,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,fresh market 2026 stoisko,Stands - Brand,Brand - PL_EN,Phrase,0.80,https://freshmarket.eu/exhibitors,,,,,
Keyword,Add,Paused,,fresh market 2026 exhibition stand,Stands - Brand,Brand - PL_EN,Phrase,0.80,https://freshmarket.eu/exhibitors,,,,,
