Row Type,Action,Keyword status,Keyword ID,Negative keyword,Campaign,Ad group,Match type,Label
Negative keyword,Add,Paused,,buyer meetings,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,business package,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,premium meetings,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,register for meetings,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,apply for buyer meetings,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,matchmaking,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,meet retail buyers,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,b2b meetings registration,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,pakiet business,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,rejestracja udzial,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,spotkania z buyerami,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,jobs,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,praca,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,employment,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,free,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,darmowy,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,volunteer,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,recipe,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,przepis,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,co to jest,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,what is,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,frozen,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,mrozone,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,canned,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,sponsor,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,sponsoring,Stands - Search PL,,Phrase,
Negative keyword,Add,Paused,,buyer meetings,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,business package,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,premium meetings,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,register for meetings,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,apply for buyer meetings,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,matchmaking,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,meet retail buyers,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,b2b meetings registration,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,pakiet business,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,rejestracja udzial,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,spotkania z buyerami,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,jobs,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,praca,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,employment,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,free,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,darmowy,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,volunteer,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,recipe,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,przepis,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,co to jest,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,what is,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,frozen,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,mrozone,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,canned,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,sponsor,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,sponsoring,Stands - Search EN,,Phrase,
Negative keyword,Add,Paused,,buyer meetings,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,business package,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,premium meetings,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,register for meetings,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,apply for buyer meetings,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,matchmaking,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,meet retail buyers,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,b2b meetings registration,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,pakiet business,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,rejestracja udzial,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,spotkania z buyerami,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,jobs,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,praca,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,employment,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,free,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,darmowy,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,volunteer,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,recipe,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,przepis,Stands - Brand,,Phrase,
Negative keyword,Add,Paused,,co to jest,Stands - Brand,,Phrase,
